# P(k)  H0=0.7 Om0=0.3 Ob0=0.05 Ol0=0.7 Sigma8=0.8154 n_s=0.96
# k  P(k)  P_noOsc(k) 
    0.000499       8594.83       8536.66
    0.000998         16376         16266
    0.001497       23489.4       23347.2
    0.001996       29943.3       29795.3
    0.002495         35765       35638.1
    0.002994       40994.2       40911.8
    0.003493       45675.2       45656.8
    0.003992       49852.6       49913.1
    0.004491       53568.8       53719.3
     0.00499       56863.1         57111
    0.005489       59771.1       60120.4
    0.005988       62325.1       62776.6
    0.006487         64554       65105.3
    0.006986       66483.6       67129.1
    0.007485       68137.1       68867.8
    0.007984       69535.3         70339
    0.008483       70697.1       71558.3
    0.008982       71639.4       72539.8
    0.009481       72377.8       73296.6
     0.00998       72926.6       73841.4
    0.010479       73298.9       74186.5
    0.010978       73507.2       74344.5
    0.011477         73563       74328.3
    0.011976       73477.5       74151.6
    0.012475       73261.2       73828.4
    0.012974       72924.4       73373.3
    0.013473         72477       72801.2
    0.013972       71928.8         72127
    0.014471         71289       71365.6
     0.01497       70567.1       70531.2
    0.015469       69771.8       69637.4
    0.015968         68912       68696.9
    0.016467       67996.1       67721.1
    0.016966       67032.3       66720.4
    0.017465       66028.4       65703.8
    0.017964       64991.9       64679.1
    0.018463         63930       63652.9
    0.018962       62849.2       62630.7
    0.019461       61755.9       61616.8
     0.01996       60655.8       60614.9
    0.020459       59554.2       59627.6
    0.020958       58455.8       58657.1
    0.021457       57365.2       57704.7
    0.021956         56286       56771.5
    0.022455       55221.7       55858.1
    0.022954       54175.3       54964.9
    0.023453       53149.2       54091.9
    0.023952       52145.7       53238.9
    0.024451       51166.5       52405.7
     0.02495       50212.9         51592
    0.025449       49286.1       50797.2
    0.025948       48386.9         50021
    0.026447       47515.9       49262.6
    0.026946       46673.4       48521.7
    0.027445       45859.6       47797.6
    0.027944       45074.3       47089.8
    0.028443       44317.4       46397.7
    0.028942       43588.7       45720.9
    0.029441       42887.6       45058.7
     0.02994       42213.7       44410.8
    0.030439       41566.4       43776.6
    0.030938       40944.9       43155.6
    0.031437       40348.7       42547.5
    0.031936       39776.9       41951.8
    0.032435       39228.8       41368.1
    0.032934       38703.6       40796.1
    0.033433       38200.3       40235.3
    0.033932       37718.3       39685.6
    0.034431       37256.5       39146.4
     0.03493       36814.1       38617.6
    0.035429       36390.3       38098.8
    0.035928       35984.2       37589.7
    0.036427       35594.7       37090.2
    0.036926       35221.1       36599.8
    0.037425       34862.5       36118.5
    0.037924       34517.8       35645.9
    0.038423       34186.3       35181.8
    0.038922       33866.9         34726
    0.039421       33558.9       34278.4
     0.03992       33261.2       33838.6
    0.040419         32973       33406.6
    0.040918       32693.3       32982.1
    0.041417       32421.3         32565
    0.041916       32156.1         32155
    0.042415       31896.9       31752.1
    0.042914       31642.7       31356.1
    0.043413       31392.7       30966.7
    0.043912       31146.2       30583.9
    0.044411       30902.3       30207.6
     0.04491       30660.2       29837.5
    0.045409       30419.2       29473.6
    0.045908       30178.7       29115.7
    0.046407       29937.9       28763.6
    0.046906       29696.2       28417.4
    0.047405       29453.1       28076.8
    0.047904       29207.9       27741.7
    0.048403       28960.3         27412
    0.048902       28709.7       27087.6
    0.049401       28455.7       26768.5
      0.0499       28198.1       26454.4
    0.050399       27936.6       26145.3
    0.050898       27670.8       25841.1
    0.051397       27400.7       25541.7
    0.051896       27126.1         25247
